ticker,name
ALL,Aristocrat Leisure Ltd
ANZ,Australia and New Zealand Banking Group Ltd
APT,Afterpay Ltd
BHP,BHP Group Ltd
CBA,Commonwealth Bank of Australia
CSL,CSL Ltd
FMG,Fortescue Metals Group Ltd
GMG,Goodman Group
MQG,Macquarie Group Ltd
NAB,National Australia Bank Ltd
NCM,Newcrest Mining Ltd
REA,REA Group Ltd
RIO,RIO Tinto Ltd
TCL,Transurban Group
TLS,Telstra Corporation Ltd
WBC,Westpac Banking Corporation
WES,Wesfarmers Ltd
WOW,Woolworths Group Ltd
WPL,Woodside Petroleum Ltd
XRO,Xero Ltd
